rf_dBm,wanted_unfiltered_W,carrier_to_wanted_unfiltered,wanted_at_cell_W,carrier_at_cell_W,other_sidebands_at_cell_W,carrier_to_wanted_at_cell,other_to_wanted_at_cell,cell_spectral_purity
19.25,0.0005984186771050878,0.10275820989276972,7.720153026175858e-06,1.3530218274205074e-09,1.8954253788765465e-08,0.00017525842076354805,0.0024551655549442347,0.9973764770020868
19.5,0.0005852479823680344,0.0693365834440603,7.55023891299512e-06,8.928643774142638e-10,1.9603164058705623e-08,0.00011825644031972381,0.0025963634110922726,0.9972927293592126
19.75,0.0005688314469763769,0.04177477797201168,7.338450460809209e-06,5.228545372999637e-10,2.0248871686400885e-08,7.124862940647401e-05,0.002759284374070442,0.9971774562996208
20.0,0.0005491125900515376,0.020558162818270373,7.084059014176112e-06,2.483869849040991e-10,2.08888876484215e-08,3.5062805717321784e-05,0.002948717339398239,0.997025096313438
20.25,0.0005260866036493344,0.0063720008602587514,6.7870025461801505e-06,7.375920071380449e-11,2.1520735213473e-08,1.0867713723684621e-05,0.0031708747811779246,0.9968283488822388
20.5,0.0004998094761020135,0.00017272534142514273,6.448003357961242e-06,1.899519161059894e-12,2.2142028399158076e-08,2.945902871955843e-07,0.003433935618507345,0.9965775233638582
20.75,0.0004704071445448282,0.003292910129241442,6.068686154751743e-06,3.408292982091892e-11,2.275056872884634e-08,5.616195820940946e-06,0.0037488458207766743,0.9962595812435496
21.0,0.0004380843108886211,0.01759927407857618,5.6516917800562395e-06,1.6964286090727516e-10,2.3344462121214576e-08,3.0016297333466237e-05,0.004130526403367007,0.9958566956937874
21.25,0.0004031324601450234,0.045736527161433164,5.200780659444195e-06,4.056897983754029e-10,2.3922257409602535e-08,7.800555819225008e-05,0.00459974357237344,0.9953440303275217
21.5,0.00036593651885342146,0.09151461940732271,4.720918700400772e-06,7.368504674025959e-10,2.4483107425698307e-08,0.00015608200737285362,0.005186089610825085,0.9946862155303808
21.75,0.0003269794892318457,0.16054434302355158,4.218337077148704e-06,1.1550443271686913e-09,2.5026952727743826e-08,0.00027381508543395473,0.00593289542064293,0.9938315751214228
22.0,0.0002868442985939915,0.2613213053790911,3.700556089834094e-06,1.6493171473497298e-09,2.5554726834309872e-08,0.00044569440573556424,0.006905645047378692,0.9927023083553895
22.25,0.00024621202312748245,0.40715964698038526,3.1763622496273075e-06,2.205754221211959e-09,2.606858016103729e-08,0.0006944277912479179,0.00820705515061955,0.9911770543582595
22.5,0.00020585559278268848,0.6198315172733919,2.655727065980952e-06,2.807498023925669e-09,2.6572117667318584e-08,0.0010571485526087588,0.010005590562260426,0.9890583059914225
22.75,0.0001666280752887349,0.9368764867276321,2.1496558996274152e-06,3.4348964593073373e-09,2.707064242450865e-08,0.0015978819958592833,0.012593011946330859,0.986007669732638
23.0,0.00012944469065017468,1.4275110134929163,1.6699559329928e-06,4.065807780912247e-09,2.757139385290352e-08,0.0024346796826103896,0.016510252341504387,0.9814073053128779
23.25,9.525784379008622e-05,2.230995196743824,1.2289140682583967e-06,4.676086272601049e-09,2.8083765206160325e-08,0.003805055531041276,0.02285250525771938,0.9740346130911653
23.5,6.502470459151373e-05,3.662621122279636,8.388786799851338e-07,5.240268219611003e-09,2.8619480022537403e-08,0.006246753368084009,0.034116351631495255,0.9612028677241533
23.75,3.966723333484487e-05,6.567903208902344,5.117439063758508e-07,5.732469964853948e-09,2.91927018007904e-08,0.011201833365151456,0.05704552890044536,0.9361127724941403
24.0,2.0025064163376085e-05,13.906766185807387,2.583418025121315e-07,6.127498341100233e-09,2.982004529130839e-08,0.023718570829482737,0.11542864918234852,0.8778496601954697
24.25,6.802331458214536e-06,42.77455183615878,8.775635153339985e-08,6.402158046707145e-09,3.0520451864422043e-08,0.07295378550771336,0.3477862437433493,0.7038585380938032
24.5,5.103535425482315e-07,582.1107799243414,6.584031542904865e-09,6.536720396740577e-09,3.131488596489236e-08,0.9928142588843956,4.756187111320593,0.1481700691919739
24.75,1.4090563900194764e-06,210.18536000919164,1.8178127404186937e-08,6.516493551660665e-09,3.222580546164678e-08,0.35847991417200276,1.7727791617427142,0.3193603517804976
25.0,9.451083073656493e-06,30.45598555434061,1.219276910685652e-07,6.333406617368356e-09,3.327635681607485e-08,0.051943955978029706,0.2729187809958783,0.7547951739393619
