contaminant_to_wanted_shot_weight_ratio,threshold_fano_for_sql_crossing,R_F_1,dB_F_1,R_F_2,dB_F_2,R_F_4p2565,dB_F_4p2565
0.3125,3.7712,0.3401904761904762,-4.682778488534292,0.5782857142857143,-2.378575361825141,1.1155476190476192,0.4748811361422053
0.315,3.749206349206349,0.34144486692015213,-4.6667941182245345,0.5809885931558936,-2.358323942500867,1.1215190114068443,0.49806639915513456
0.3175,3.7275590551181104,0.3426944971537002,-4.650928692350596,0.5836812144212524,-2.3382428408315317,1.1274677419354842,0.5210412509560558
0.32,3.70625,0.34393939393939393,-4.63518078348746,0.5863636363636363,-2.3183297052295733,1.1333939393939398,0.5438088600548939
0.3225,3.685271317829457,0.345179584120983,-4.619548988369056,0.5890359168241966,-2.298582230346589,1.1392977315689985,0.5663723266619048
0.325,3.6646153846153844,0.34641509433962264,-4.6040319273556545,0.5916981132075472,-2.278998155883882,1.1451792452830192,0.5887346846173575
0.3275,3.644274809160305,0.34764595103578155,-4.588628243915759,0.5943502824858756,-2.2595752654408643,1.1510386064030134,0.6108989032537178
0.33,3.624242424242424,0.34887218045112783,-4.57333660412205,0.5969924812030075,-2.2403113853998953,1.1568759398496242,0.6328678891931522
0.3325,3.6045112781954884,0.350093808630394,-4.558155696160911,0.599624765478424,-2.221204383846185,1.162691369606004,0.6546444880830214
0.335,3.5850746268656715,0.351310861423221,-4.543084229855107,0.602247191011236,-2.2022521695214268,1.1684850187265923,0.6762314862719172
0.3375,3.5659259259259257,0.35252336448598137,-4.528120936199188,0.6048598130841122,-2.183452690809937,1.174257009345795,0.6976316124286585
0.34,3.5470588235294116,0.3537313432835821,-4.5132645669072256,0.6074626865671642,-2.164803934756064,1.1800074626865675,0.7188475391065753
0.3425,3.528467153284671,0.3549348230912477,-4.49851389397248,0.6100558659217877,-2.1463039261117474,1.1857364990689017,0.7398818842552664
0.34500000000000003,3.5101449275362318,0.35613382899628254,-4.483867709238635,0.612639405204461,-2.1279507264131095,1.191444237918216,0.7607372126819345
0.34750000000000003,3.4920863309352517,0.35732838589981447,-4.469324823982229,0.6152133580705009,-2.1097424330850276,1.197130797773655,0.7814160374643111
0.35000000000000003,3.474285714285714,0.3585185185185185,-4.454884068505937,0.6177777777777778,-2.091677178572674,1.2027962962962966,0.8019208213170782
0.3525,3.4567375886524823,0.3597042513863216,-4.440544291742363,0.6203327171903882,-2.073753129499068,1.2084408502772643,0.8222539779135908
0.355,3.43943661971831,0.36088560885608856,-4.426304360868043,0.6228782287822878,-2.055968485847695,1.2140645756457564,0.8424178731646828
0.3575,3.4223776223776223,0.3620626151012891,-4.412163160927301,0.625414364640884,-2.038321480169319,1.2196675874769802,0.8624148264561717
0.36,3.4055555555555554,0.3632352941176471,-4.398119594465705,0.6279411764705882,-2.0208103768121246,1.2252500000000004,0.8822471118466737
0.3625,3.3889655172413793,0.3644036697247706,-4.384172581172801,0.6304587155963303,-2.0034334711743775,1.2308119266055049,0.9019169592272582
0.365,3.3726027397260276,0.36556776556776555,-4.370321057533849,0.6329670329670329,-1.9861890889788159,1.23635347985348,0.921426555444357
0.3675,3.3564625850340137,0.36672760511883,-4.356563976490314,0.6354661791590493,-1.969075585568019,1.2418747714808045,0.9407780453873406
