analysis_frequency_MHz,abs_chi_sc_s,abs_chi_sc_normalized,mean_field_probe_gain,mean_field_conjugate_gain,probe_gain_normalized,conjugate_gain_normalized
3.4616666666666664,4.236719159634915e-11,1.0293342972854373,512.4220430017914,515.7601137761891,1.2630801641830007,1.2639001613778085
3.511111111111111,4.2385317698050675e-11,1.029774680927932,514.1566984002701,517.5105988205449,1.2673559537502808,1.2681898268074445
3.5605555555555553,4.2403462415343566e-11,1.0302155168464904,515.8971297941774,519.2669195736194,1.2716459806934777,1.2724937929807676
3.61,4.242162577826352e-11,1.0306568057708467,517.643355277011,521.0290943557644,1.2759502896116446,1.276812104792866
3.659444444444444,4.2439807816913456e-11,1.031098548432368,519.3953929880092,522.7971415339082,1.2802689252165824,1.281144807252966
3.7088888888888887,4.2458008561465535e-11,1.0315407455641032,521.153261112277,524.5710795216673,1.2846019323331488,1.285491945484706
3.7583333333333333,4.247622804216051e-11,1.0319833979007684,522.9169778807835,526.3509267793648,1.2889493558992535,1.2898535647261813
3.8077777777777775,4.249446628930748e-11,1.0324265061787399,524.6865615702689,528.1367018139205,1.293311240965628,1.2942297103296754
3.857222222222222,4.251272333328516e-11,1.0328700711360852,526.4620305034339,529.9284231790646,1.2976876326962938,1.298620427762184
3.9066666666666663,4.253099920454096e-11,1.0333140935125409,528.2434030487702,531.7261094751501,1.3020785763681426,1.3030257626049537
3.956111111111111,4.254929393359242e-11,1.0337585740495476,530.0306976207252,533.5297793493287,1.3064841173713433,1.3074457605539147
4.0055555555555555,4.256760755102655e-11,1.0342035134902337,531.8239326796413,535.3394514955004,1.310904301209193,1.3118804674195563
4.055,4.258594008749968e-11,1.0346489125794114,533.6231267317266,537.1551446542785,1.315339173498044,1.3163299291268415
4.104444444444444,4.2604291573739383e-11,1.035094772063624,535.4282983291741,538.9768776131033,1.3197887799675974,1.3207941917154857
4.153888888888889,4.262266204054224e-11,1.0355410926910915,537.2394660700172,540.8046692061197,1.3242531664605472,1.3252733013396567
4.203333333333333,4.264105151877629e-11,1.0359878752117704,539.0566485982871,542.6385383143219,1.3287323789329692,1.329767304268329
4.252777777777777,4.265946003938029e-11,1.036435120377334,540.8798646039448,544.4785038654919,1.3332264634541522,1.3342762468851335
4.302222222222222,4.267788763336321e-11,1.0368828289411631,542.7091328228441,546.3245848341727,1.3377354662065064,1.3388001756882915
4.351666666666667,4.2696334331806134e-11,1.0373310016583894,544.544472036834,548.1768002417555,1.3422594334858173,1.3433391372908285
4.401111111111111,4.271480016586072e-11,1.0377796392858596,546.3859010736429,550.035169156386,1.34679841170096,1.3478931784203454
4.450555555555555,4.273328516675075e-11,1.0382287425821732,548.2334388069914,551.8997106930688,1.3513524473741754,1.3524623459192722
4.5,4.27517893657719e-11,1.0386783123076753,550.0871041565421,553.7704440136226,1.355921587140949,1.357046686744761
